track_id,track_name,artist_names,genres,valence,danceability,energy,mood,album_name,release_date,album_cover_640x640
2FPHqB0ROA6PDk8DsmYcn7,You're A Builder-Upper,"['Richard Himber and his Orchestra', 'Joey Nash']",Unknown,0.821,0.596,0.259,Upbeat,The Complete Richard Himber Vol. 2 (1934),1934-07-01,https://i.scdn.co/image/ab67616d00004851bd8f6ef24bbc491ffd599b5d
2FPfeYlrbSBR8PwCU0zaqq,Have Yourself A Merry Little Christmas - Remastered 1999,['Frank Sinatra'],"easy listening, adult standards, lounge",0.288,0.262,0.1369999999999999,Sad,A Jolly Christmas From Frank Sinatra,1957-09,https://i.scdn.co/image/ab67616d0000485194fd2e614d0862bdd2592594
2FR6XOnFXf5MQLqO1VoKAe,Quando m'en vo from La bohème,"['Giacomo Puccini', 'Kiri Te Kanawa', 'Sir John Pritchard']","opera, classical, italian romanticism, italian opera, post-romantic era, classical soprano",0.0606,0.28,0.113,Sad,Greatest Hits - Puccini,1995-06-13,https://i.scdn.co/image/ab67616d000048515716ed780db3a0bb1aac4913
2FRnf9qhLbvw8fu4IBXx78,Last Christmas,['Wham!'],"new romantic, new wave, soft rock, new wave pop",0.947,0.735,0.478,Upbeat,LAST CHRISTMAS,1984-11-29,https://i.scdn.co/image/ab67616d0000b273f2d2adaa21ad616df6241e7d
2FSYfKAApea3U42phhBOIc,Bye Bye,['Vilma Palma e Vampiros'],Unknown,0.393,0.634,0.84,Sad,,,
2FTD2fNEz1anEwBzzV1bqt,Well You Needn't - Remastered,['Thelonious Monk'],"jazz trio, contemporary post-bop, jazz, jazz piano, bebop",0.523,0.423,0.469,Neutral,"Genius Of Modern Music (Vol.1, Expanded Edition)",1951,https://i.scdn.co/image/ab67616d00004851c4c99d6b212f741ba28c5a61
2FTUUr2lKiO5rgEd6t7Kny,A Poor Man's Roses (Or A Rich Man's Gold),"['Patsy Cline', 'The Jordanaires']","country gospel, nashville sound, country",0.642,0.425,0.0727,Upbeat,Showcase,1961-11-27,https://i.scdn.co/image/ab67616d000048516fda96b0954b958ee44c8efc
2FTZeRHQ4gRPViPMpWL9uX,I'm Alive,['Céline Dion'],canadian pop,0.452,0.691,0.64,Neutral,,,
2FTeQQ5Rg9tBpgpTF5mnhE,Still Think About You,['A Boogie Wit da Hoodie'],"melodic rap, trap, rap",0.961,0.946,0.6459999999999999,Upbeat,Artist,2016-09-16,https://i.scdn.co/image/ab67616d0000b273f2baf6d743ae26f97777f026
2FUmtCA1S5HuJSPfOPRGqA,Un Día A La Vez,['Los Tigres Del Norte'],"ranchera, norteno, musica mexicana, banda",0.805,0.455,0.265,Upbeat,,,
2FVen8cLMluXxLOMPpN1rw,Mehnat Kar Le Bande,['Ravi'],Unknown,0.6920000000000001,0.899,0.225,Upbeat,,,
2FVpOsjT1iquZ3SpCjZ9Ne,Telepathy,['BTS'],"pop, k-pop, k-pop boy group",0.57,0.787,0.669,Neutral,BE,2020-11-20,https://i.scdn.co/image/ab67616d0000b2733deb4b0115410a85afe31c29
2FWbGQ9wA7rnF4XCN3CGng,Tere Dil Mein Zara Si Jagah,"['Lata Mangeshkar', 'Mohammed Rafi']","classic bollywood, lata, filmi",0.66,0.418,0.475,Upbeat,Anokhi Ada (Original Motion Picture Soundtrack),1948-09-24,https://i.scdn.co/image/ab67616d00004851205cc71b405edf7269f4a3a6
2FWmKZ3kNbVsKGhuNHsltW,Brooklyn Zoo,"[""Ol' Dirty Bastard""]","east coast hip hop, hip hop, hardcore hip hop",0.618,0.7040000000000001,0.701,Upbeat,Return to the 36 Chambers: The Dirty Version,1995,https://i.scdn.co/image/ab67616d0000b273942b4029fa54f0b44591a133
2FXk3LhwfbziRcCg8Rp0fN,Who Can I Turn To (When Nobody Needs Me),['Tony Bennett'],"easy listening, adult standards, vocal jazz, lounge",0.126,0.237,0.238,Sad,,,
2FXuh6ekocaGT7YubxgO4C,God Bless the Child - Take 1,['Billie Holiday'],"jazz blues, adult standards, jazz, torch song, harlem renaissance, soul, swing, vocal jazz",0.261,0.494,0.097,Sad,Lady Day: The Complete Billie Holiday On Columbia (1933-1944),1933,https://i.scdn.co/image/ab67616d00004851452bd32b5454a87f36ad8e8c
2FY7b99s15jUprqC0M5NCT,Natural,['Imagine Dragons'],"rock, pop, modern rock",0.22,0.7040000000000001,0.611,Sad,Origins (Deluxe),2018-11-09,https://i.scdn.co/image/ab67616d0000b273da6f73a25f4c79d0e6b4a8bd
2FZ0yrA5aPClG5ZPBlV7n4,Sweet Leaf - 2014 Remaster,['Black Sabbath'],"alternative metal, stoner rock, hard rock, classic rock, album rock, birmingham metal, uk doom metal, rock, metal",0.6579999999999999,0.362,0.6,Upbeat,Master of Reality (2014 Remaster),1971-07-21,https://i.scdn.co/image/ab67616d00004851c199494ba9ea2b73e9208f91
2FZqEHppqWDuHYhpMTVj8X,Caravan,"['Gordon Jenkins', 'Marshall Royal']",jazz saxophone,0.625,0.514,0.485,Upbeat,,,
2Fa28rix7GLQWqwhGCbeSm,The Nearness of You - alternate take,['Sarah Vaughan'],"torch song, jazz, vocal jazz",0.221,0.3229999999999999,0.177,Sad,Sarah Vaughan In Hi-Fi,1949,https://i.scdn.co/image/ab67616d000048518ba409d1ae37608ac6b64af4
2Fc0uxBiHg5qIVyORYKrTV,Don't Leave Me Now,['Elvis Presley'],"rockabilly, rock-and-roll",0.428,0.639,0.124,Neutral,Loving You,1957-06-20,https://i.scdn.co/image/ab67616d00004851040aa5d865a0fe029c20d4b2
2FcDRcHSSqtYjFnD5FUJOP,Arabian Smiles - Remasterizado,['Francisco Canaro'],"orquesta tipica, tango, vintage tango",0.507,0.397,0.334,Neutral,"Época Acústica, Vol. 4 (Remasterizado)",1924-07-11,https://i.scdn.co/image/ab67616d00004851954f786fbc8937a22576bf7c
2FcleEUIUJbhS5Lh6a94Gf,Por volverte a ver,['Dyango'],"cancion melodica, pop romantico",0.467,0.273,0.62,Neutral,,,
2FeSPrk2u92mMNeZeiSbzx,All of Me (with Eddie Heywood & His Orchestra) - Take 2,"['Billie Holiday', 'Eddie Heywood']","jazz blues, adult standards, jazz, torch song, stride, harlem renaissance, soul, swing, vocal jazz",0.435,0.552,0.0985,Neutral,Lady Day: The Complete Billie Holiday On Columbia - Vol. 10,1940,https://i.scdn.co/image/ab67616d00004851664aa395c87067ccb42ade0a
2FeYK41Grs7KdR9Nqoy1MK,Amores extraños - Versión 2001,['Laura Pausini'],Unknown,0.273,0.541,0.387,Sad,,,
2FfD9D4V42kIR2cRZvEKpR,Mala Racha - Remasterizado,['Ignacio Corsini'],vintage tango,0.8270000000000001,0.626,0.106,Upbeat,"Colección Completa, Vol. 24 (Remasterizado)",1929-06-21,https://i.scdn.co/image/ab67616d00004851f06342fce98d88599408dc4b
2FfZg072w8RoxlMOR7M4CT,Ants Marching,['Dave Matthews Band'],"jam band, neo mellow, pop rock",0.846,0.637,0.856,Upbeat,Under the Table and Dreaming (Expanded Edition),1994-09-27,https://i.scdn.co/image/ab67616d0000b2738691f3580a9747e8c5c1093e
